dilution_id,28504,28505,28506,28507,28508,28509,28510,28511,28512,28513,28514,28515,28516
dilution_name,12,9,1,5,11,2,4,3,8,10,7,6,Blank 
Group,RC-MV,RC-cell,GC-cell,GC-MV,RC-MV,GC-cell,GC-MV,GC-cell,RC-cell,RC-MV,RC-cell,GC-MV,
Treatment,RC,RC,GC,GC,RC,GC,GC,GC,RC,RC,RC,GC,
Type,MV,cell,cell,MV,MV,cell,MV,cell,cell,MV,cell,MV,
mmu-let-7g-5p,27.75281197,26.47424954,26.72842035,28.55902097,28.92949338,26.71099818,28.56604909,26.53367618,26.48228046,27.23055302,26.47613285,27.8156254,ND
mmu-miR-106a-5p,36.18751067,35.21199805,35.17397256,35.62231002,38.83045798,36.73665273,38.64394886,35.62016213,34.76844115,35.34834983,35.58270343,35.53681381,ND
mmu-miR-10b-5p,31.25344551,32.65597302,32.09969798,30.98976133,32.46253638,32.19848259,30.9868962,32.61827625,31.85666215,30.54563796,32.04494322,30.76424304,ND
mmu-miR-136-5p,28.24304077,27.71693768,28.28589057,31.72701207,32.41952555,28.40431347,30.86428674,28.39956915,27.06576879,28.21170753,27.59479788,30.18023356,ND
mmu-miR-143-3p,25.95060282,25.31922624,24.72477558,25.91064219,27.68864344,24.79091426,26.25516114,24.79095785,25.2444627,25.3637797,25.66454163,24.81821052,ND
mmu-miR-146b-5p,34.49843508,33.37988465,33.15577909,35.92570401,36.94006104,34.35443601,35.71916237,33.49868327,33.47546019,33.84454034,34.71079951,34.35873937,ND
mmu-miR-148a-3p,27.32951912,27.36062863,27.57819409,28.49611192,29.201091,27.87148382,28.66183053,27.28416563,27.24338004,27.29269585,27.68289911,27.60342561,ND
mmu-miR-149-5p,29.89965254,29.52813403,29.73943226,31.38539201,30.52013055,29.53467982,31.03316728,29.31522525,29.19762174,29.74664591,29.34626816,30.49702499,ND
mmu-miR-155-5p,34.58043257,32.62652597,33.84357743,35.67450543,35.25326645,33.57775104,35.21539699,33.63466661,33.12785881,34.0767085,32.92618569,35.34515167,ND
mmu-miR-15a-5p,28.2237222,27.52478781,27.15361332,28.98154164,31.05162322,27.09817909,29.05333879,26.90505075,27.15897749,27.99559805,27.08051911,28.33823186,ND
mmu-miR-18a-3p,35.24332032,36.80357349,34.14596372,34.70873064,35.79181894,34.88918864,35.70316198,35.82334586,36.83291911,33.90812231,36.49737027,34.91356117,ND
mmu-miR-193b-3p,31.03399431,30.01905693,30.11730262,31.73075538,31.76776652,30.33303243,31.99205898,29.99180416,30.22582601,30.50913856,30.09527226,31.07406605,ND
mmu-miR-1a-3p,ND,ND,38.19326106,ND,ND,37.79078068,35.9668506,ND,ND,35.95256715,ND,35.60942464,ND
mmu-miR-200b-3p,ND,ND,ND,ND,38.17102451,ND,ND,ND,ND,38.76821925,ND,ND,ND
mmu-miR-200c-3p,36.95738914,34.87600434,36.41856967,36.08103138,ND,ND,37.95799795,36.28800544,36.67367064,34.9717864,35.34227213,36.51278846,ND
mmu-miR-201-5p,ND,ND,ND,ND,ND,ND,36.42147229,ND,ND,39.38760717,ND,36.43004061,ND
mmu-miR-202-3p,ND,ND,ND,ND,ND,ND,ND,37.3306797,ND,ND,ND,ND,ND
mmu-miR-205-5p,ND,37.39546428,ND,ND,34.79896409,ND,ND,34.07422124,ND,ND,ND,ND,ND
mmu-miR-207,ND,34.94874082,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-208a-3p,ND,ND,ND,ND,37.80163778,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-208b-3p,ND,ND,ND,ND,ND,ND,37.87899775,ND,ND,37.45500078,ND,37.81221407,ND
mmu-miR-20a-3p,38.01935615,37.28578992,ND,ND,ND,ND,ND,38.17580148,ND,ND,35.75043337,ND,ND
mmu-miR-214-3p,26.97412591,25.87361528,26.69177417,28.34443578,27.57601406,26.83380107,28.26029419,26.52401195,25.89995666,26.54332758,25.8636023,27.75399151,ND
mmu-miR-223-3p,28.95926515,ND,ND,27.88671785,29.57784599,ND,28.10434845,ND,ND,28.15723453,ND,27.92421534,ND
mmu-miR-224-5p,38.18669581,36.43527483,38.57116686,37.4418861,ND,ND,37.85633147,36.6900204,36.97948072,38.44638156,38.8271698,37.7185914,ND
mmu-miR-291a-3p,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,38.95845186,ND
mmu-miR-291b-5p,36.01370613,ND,38.29744411,ND,ND,36.49090596,ND,ND,38.08669583,ND,ND,ND,ND
mmu-miR-297a-3p,ND,39.26517063,ND,ND,ND,ND,ND,38.24631743,ND,38.32212827,ND,ND,ND
mmu-miR-297a-5p,ND,ND,37.45386683,ND,ND,ND,ND,ND,ND,ND,ND,ND,37.2372667
mmu-miR-297c-5p,ND,ND,36.1125321,ND,ND,ND,ND,36.0530207,38.1121612,35.76635274,39.30998421,ND,ND
mmu-miR-299a-3p,32.98912831,32.67437355,34.55488656,34.48627917,ND,33.80591973,35.15198737,33.62367511,32.29996716,32.32707158,32.94137772,32.92344607,ND
mmu-miR-302d-3p,ND,ND,ND,ND,39.54478127,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-3107-5p,30.85788215,ND,ND,30.32610747,31.61843359,ND,30.62800823,ND,ND,30.0793665,ND,30.01384663,ND
mmu-miR-324-3p,ND,ND,ND,31.77529066,ND,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-337-3p,33.58441354,31.78815422,33.52753072,34.79479279,34.54208451,33.12622279,35.95310844,33.59943465,32.72685308,32.84312574,32.70688241,34.45571835,39.42265358
mmu-miR-337-5p,32.21347324,31.25666833,32.54385303,32.22695333,32.46231545,32.24438191,33.59843619,32.28631453,31.67014201,31.37194448,31.80333681,32.17266974,ND
mmu-miR-338-3p,35.7510722,ND,ND,36.4519596,ND,ND,36.68061138,ND,ND,36.4739608,ND,36.57453765,ND
mmu-miR-339-3p,36.03807211,34.98814644,35.82412304,37.89497623,ND,36.24454794,ND,35.58391959,35.14510387,35.51128433,34.83452149,36.47552976,ND
mmu-miR-343,37.46064689,ND,ND,ND,ND,ND,ND,ND,ND,37.19841099,ND,ND,ND
mmu-miR-344-3p,38.23688666,36.82305702,ND,35.76886683,ND,37.03765399,39.15555884,ND,35.53736461,34.69219939,36.21771361,36.30451966,ND
mmu-miR-345-3p,35.54051803,35.71852137,36.8874866,ND,37.22082122,36.70440375,36.13110893,36.14693041,36.00384286,36.99107831,37.36221457,ND,35.96035737
mmu-miR-345-5p,30.18471191,29.2543681,29.48435853,30.67434493,30.59827357,29.3919103,30.84341159,29.55020408,29.10165599,29.3455742,29.46174798,30.00774727,ND
mmu-miR-350-3p,30.89559999,29.86504667,30.34303556,31.65012529,32.73302474,30.17711814,32.53976262,30.43949955,30.19534218,30.60515376,30.01876535,31.45665084,ND
mmu-miR-351-5p,28.8326655,27.54633073,29.60136588,31.13911278,29.01207615,29.91426396,31.91694923,29.48217288,27.59747094,28.33735566,27.69581875,30.88282011,36.93961098
mmu-miR-363-3p,37.70536413,ND,ND,37.27989036,ND,ND,39.0091123,ND,ND,39.51574367,ND,37.64239306,ND
mmu-miR-377-3p,31.791996,30.95076327,31.99443935,33.37894291,33.8161189,32.69683817,33.95155221,32.51999654,30.8443315,31.13035726,31.59969215,32.75526119,ND
mmu-miR-380-3p,31.0142788,30.16256736,31.06029626,32.79106097,32.67827152,30.9771021,32.61495738,30.5178027,30.27554653,30.34913997,30.03029905,31.67070459,ND
mmu-miR-381-3p,32.02373853,31.85182917,32.87249875,33.64370278,33.52387332,32.59347251,33.8407085,32.32363923,31.47246571,31.62143537,31.92750814,33.0825287,ND
mmu-miR-409-3p,29.48415634,28.62456643,29.48377993,30.6724421,29.5569927,29.73748155,30.72003616,29.35509089,28.53654727,28.55350759,28.69288753,30.12579846,ND
mmu-miR-412-3p,35.69036032,33.82043276,35.90220071,ND,35.59974267,34.88683986,ND,37.14324969,35.88323913,36.20066076,34.63670521,ND,ND
mmu-miR-421-3p,33.25833616,32.03215462,32.60703833,34.35563758,34.74942712,32.55726986,33.74159242,32.94602598,32.73657261,32.57098317,33.12913209,33.34291997,ND
mmu-miR-423-5p,30.46108027,31.05682795,30.73242242,30.61911938,31.08892495,31.04683302,30.88055507,30.66634672,31.19858048,30.78617594,31.09374706,30.47842197,ND
mmu-miR-425-3p,ND,ND,ND,ND,ND,ND,39.06636822,ND,ND,35.74782232,ND,36.51323566,ND
mmu-miR-434-5p,29.5840856,29.24781732,30.21683819,31.22686799,31.01102542,30.04469111,32.48138765,30.04527448,29.07114327,28.95422921,29.14579462,30.8687359,ND
mmu-miR-450a-5p,31.36864893,30.49944658,33.0135306,35.30013564,32.86495678,33.5352201,34.32894454,32.32555651,30.4464095,31.09172429,31.37227118,33.99808964,ND
mmu-miR-452-5p,ND,ND,36.88950212,36.81087218,ND,36.99738248,37.30484054,36.8553771,37.92804429,39.02903278,36.07711588,ND,ND
mmu-miR-466a-3p,ND,ND,39.1090182,ND,ND,36.66248413,ND,38.03057446,ND,ND,ND,ND,ND
mmu-miR-466c-5p,ND,38.34660206,ND,ND,38.62313757,37.87218712,39.23931802,ND,ND,ND,38.64670567,ND,ND
mmu-miR-466d-5p,35.37556963,ND,ND,ND,36.80522353,ND,ND,ND,38.92194149,35.65134808,ND,ND,ND
mmu-miR-467d-5p,ND,ND,ND,ND,39.46161784,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-493-3p,35.94544291,35.96994212,37.79591723,ND,ND,37.04929435,ND,38.25639481,37.28989892,38.72372035,37.62328217,37.82922929,ND
mmu-miR-494-3p,34.58529826,33.07134048,35.2288969,ND,35.38487404,35.61178629,36.89938265,35.21600822,32.82589422,33.65266049,33.83500028,36.09677108,ND
mmu-miR-501-3p,37.00106966,34.86800192,35.98264304,35.59571213,35.00073957,35.11791024,35.94528473,34.03317788,36.1398177,35.93849354,35.501792,36.31855118,ND
mmu-miR-532-5p,33.32903836,32.53971272,33.10338578,35.06638356,36.83184494,33.7609706,33.83235482,33.44314903,32.60480863,33.09609397,32.89163401,32.9238034,ND
mmu-miR-540-3p,33.8494927,31.82039375,33.07602457,36.01239746,33.14309925,33.10892217,36.85454781,32.98753484,31.87633951,32.76010446,32.06361972,34.04512625,ND
mmu-miR-544-3p,ND,35.53105088,37.02608797,ND,37.05781482,37.99635498,ND,35.70653548,34.42309949,ND,36.67669349,ND,ND
mmu-miR-574-3p,28.87571869,28.10379668,28.97870882,29.9579582,29.3448115,28.83691106,30.02618389,28.62606832,28.1588532,28.05344993,28.02883776,29.51177,ND
mmu-miR-615-3p,32.51471444,31.53090713,31.9700855,33.22491813,33.33116195,31.54073192,33.18658909,31.12252298,31.43516528,31.84471974,31.67206939,32.23149479,ND
mmu-miR-667-3p,32.51921364,31.8597667,32.65407405,33.26271706,32.34037705,32.72799334,33.75171364,32.51928565,31.62642267,31.72746839,32.06221876,33.08865624,ND
mmu-miR-669a-5p,ND,ND,ND,ND,36.88098517,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-676-3p,36.18143001,36.78374247,36.22828961,38.31725996,ND,36.71715757,38.0170205,37.72161512,ND,36.13019452,35.92182038,38.25019395,39.59760051
mmu-miR-682,ND,ND,ND,ND,ND,34.16598941,ND,ND,ND,ND,ND,ND,ND
mmu-miR-742-3p,ND,ND,37.89416848,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
mmu-miR-744-5p,34.18333804,32.53966703,32.68374628,35.20043143,35.08783911,32.78997932,35.77213257,32.92521698,33.07723274,33.50363813,32.61703325,34.57631557,ND
mmu-miR-758-3p,ND,ND,ND,35.50336202,ND,ND,ND,ND,33.6819814,ND,34.06083452,ND,35.96010529
rno-let-7a-1-3p,30.58945472,30.1322372,30.66600542,31.75685364,31.49419991,30.757267,32.52628522,30.4464603,29.97982279,29.79850896,30.00884333,31.32995381,ND
rno-let-7a-5p,25.21002307,23.65882466,24.13001922,26.21509622,26.03528192,24.050939,26.24236127,23.98500732,23.83296616,24.67713667,24.02358248,25.52306393,ND
rno-let-7b-5p,26.36239414,24.47692626,25.68491961,27.49239227,26.86826526,25.53011143,27.97421638,25.46338297,24.6453768,25.64079607,25.15414626,26.65085505,ND
rno-let-7c-5p,25.48708028,24.04924268,24.53789298,26.469437,25.99941758,24.62023292,26.58222236,24.24686912,24.03838229,24.80138201,24.10431894,25.86397644,ND
rno-let-7d-5p,27.29865579,25.98367022,25.99317402,27.95356695,27.98608519,26.22935241,28.14231665,25.841159,26.13080469,26.59895463,25.9412541,27.32538251,ND
rno-let-7e-5p,27.57874985,26.36462418,26.76596448,29.11368813,28.58464408,26.89086941,29.32857497,26.74563371,26.53146039,26.93169083,26.63615982,28.09616842,ND
rno-let-7f-5p,30.78881761,29.25734823,30.08297694,32.44792692,31.90637727,28.99979764,31.67171156,28.13220171,28.55067597,29.68685485,29.0480011,30.47799486,ND
rno-let-7i-5p,28.47495572,26.72099453,26.8298967,29.46754758,30.4996794,26.80488982,29.24309047,26.64385245,26.3444476,27.95702808,26.73933331,28.26322673,ND
rno-miR-100-5p,27.57044137,27.36756795,27.70727468,28.61444445,28.18013604,27.86220517,28.96993853,27.68365686,27.47559404,27.061221,27.44762458,27.99105646,ND
rno-miR-101a-3p,28.93359523,28.07056956,28.02646525,30.28287974,31.78817911,28.16582516,30.30525094,28.10323397,27.91544838,28.8420159,27.9226868,29.07160633,ND
